country;isocode;year;pop;xrat;currency_unit;ppp;tcgdp;cgdp;cgdp2;cda2;cc;cg;ci;p;p2;pc;pg;pi;openc;cgnp;y;y2;rgdpl;rgdpl2;rgdpch;kc;kg;ki;openk;rgdpeqa;rgdpwok;rgdpl2wok;rgdpl2pe;rgdpl2te;rgdpl2th;rgdptt
Afghanistan;AFG;1950;8150.3682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;1951;8284.4727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;1952;8425.333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;1953;8573.2168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;1954;8728.4082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;1955;8891.209;.016799999;Afghani;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;1956;9061.9385;.02;Afghani;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;1957;9240.9336;.02;Afghani;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;1958;9428.5557;.02;Afghani;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;1959;9624.6064;.02;Afghani;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AFG;1960;9829.4502;.02;Afghani;;;;;;;;;;;;;;;102.0661;;;;;;;;;;;;;;;;
Afghanistan;AFG;1961;10043.473;.02;Afghani;;;;;;;;;;;;;;;102.02429;;;;;;;;;;;;;;;;
Afghanistan;AFG;1962;10267.083;.02;Afghani;;;;;;;;;;;;;;;102.03252;;;;;;;;;;;;;;;;
Afghanistan;AFG;1963;10500.711;.03517833;Afghani;;;;;;;;;;;;;;;102.071;;;;;;;;;;;;;;;;
Afghanistan;AFG;1964;10744.167;.045000002;Afghani;;;;;;;;;;;;;;;101.94444;;;;;;;;;;;;;;;;
Afghanistan;AFG;1965;10997.885;.045000002;Afghani;;;;;;;;;;;;;;;101.98676;;;;;;;;;;;;;;;;
Afghanistan;AFG;1966;11262.324;.045000002;Afghani;;;;;;;;;;;;;;;102.06349;;;;;;;;;;;;;;;;
Afghanistan;AFG;1967;11537.966;.045000002;Afghani;;;;;;;;;;;;;;;102.12483;;;;;;;;;;;;;;;;
Afghanistan;AFG;1968;11825.32;.045000002;Afghani;;;;;;;;;;;;;;;102.10355;;;;;;;;;;;;;;;;
Afghanistan;AFG;1969;12122.74;.045000002;Afghani;;;;;;;;;;;;;;;102.05047;;;;;;;;;;;;;;;;
Afghanistan;AFG;1970;12430.623;.044998426;Afghani;.03093249;2544.1587;204.66864;217.07068;221.59967;87.916222;6.7679834;7.4022098;68.741272;67.102982;73.32621;29.619366;50.740002;21.728109;102.03317;4.0944114;4.3425145;861.12604;876.19897;858.01392;87.201813;6.8749719;7.2829423;11.400791;1081.4242;2573.7576;2628.3066;;;;855.02844
Afghanistan;AFG;1971;12749.385;.044998426;Afghani;.029717164;2772.7083;217.4778;233.17421;244.80351;89.119675;7.4808931;8.3868179;66.040451;64.44854;71.537811;28.417608;43.002991;27.063139;102.0631;4.055829;4.3485579;881.32355;895.22284;878.0564;87.429642;7.3914394;8.1368999;16.542793;1107.6788;2638.926;2690.5183;;;;864.05524
Afghanistan;AFG;1972;13079.46;.044998426;Afghani;.028351007;2532.4485;193.62027;203.81552;210.39168;87.770935;7.9232154;7.5323763;63.00444;62.006382;67.061218;26.831675;54.753582;32.86908;102.22828;3.3164778;3.4911098;751.5058;759.71704;748.66528;86.215263;7.894959;7.2236109;17.784399;945.29895;2254.3721;2287.6509;;;;737.91553
Afghanistan;AFG;1973;13421.301;.044998426;Afghani;.026877329;2901.9722;216.22137;225.40544;229.3324;87.433868;7.4293375;6.878963;59.729485;59.029064;62.413742;25.116047;63.45211;27.692308;102.17937;3.3449595;3.4870377;793.84167;803.67871;790.80188;85.948303;7.4510479;6.5006189;18.505093;999.40045;2385.8342;2424.6833;;;;779.62061
Afghanistan;AFG;1974;13772.076;.044998426;Afghani;.028326567;3424.2283;248.63559;257.75375;259.82141;85.822807;6.9870234;7.9923525;62.950127;62.43116;65.391739;26.220434;69.019089;28.86598;102.16496;3.5769737;3.7081513;813.16327;826.25006;810.49384;85.76857;7.0986094;7.7850194;24.503937;1025.2087;2449.9578;2497.5857;;;;812.0152
Afghanistan;AFG;1975;14132.019;.044998426;Afghani;.02650754;4017.5833;284.2894;296.21057;300.76675;83.371674;9.2579794;8.9085112;58.907703;58.671669;62.120792;24.890762;64.57296;26.948357;102.15963;3.7807164;3.9392538;853.50818;855.57556;850.5365;83.485985;9.4178371;8.6125698;25.60025;1076.8287;2575.9639;2591.2251;;;;853.50818
Afghanistan;AFG;1976;14501.369;.044998426;Afghani;.025895827;4440.7153;306.22733;319.19638;324.28168;79.728386;9.1057739;12.75899;57.548294;57.255447;60.702484;24.65892;61.57692;28.086956;102.17391;3.6892626;3.8455069;874.2868;879.01385;872.37891;79.311348;9.3292227;12.117267;30.734682;1105.1936;2647.2288;2667.3625;;;;867.25995
Afghanistan;AFG;1977;14880.372;.044998426;Afghani;.029043272;4575.772;307.50385;320.37289;330.12006;82.352852;9.472312;11.217281;64.542862;64.349342;67.976326;27.331453;71.436401;26.48608;102.18208;3.3621776;3.5028846;811.64496;814.56195;809.24915;82.644691;9.6902704;10.988956;33.158112;1025.8767;2460.4226;2476.5757;;;;814.17188
Afghanistan;AFG;1978;15269.281;.044998426;Afghani;.028059935;5292.0581;346.582;360.94376;371.4614;80.594109;9.7467642;12.573053;62.357594;62.267834;65.803162;26.300716;68.800148;24.713804;102.15488;3.3881135;3.528511;850.24615;852.71356;847.93469;81.395042;9.9750385;12.209496;33.928165;1075.6111;2583.0493;2597.6069;;;;856.04517
Afghanistan;AFG;1979;15555.612;.043730754;Afghani;.029066822;5563.5151;357.65326;372.64731;382.0293;80.892914;9.4376984;12.187048;66.46769;66.240723;70.081169;28.244696;72.609634;26.428947;102.10397;3.1633582;3.2959771;811.78625;814.96613;809.51874;81.068283;9.6645317;11.753057;25.13109;1027.5427;2470.823;2487.4495;;;;811.78625
Afghanistan;AFG;1980;15112.149;.044129167;Afghani;.027217239;5904.5737;390.71701;407.21878;418.71552;81.058617;9.5975943;12.167028;61.676308;61.518406;65.200218;25.992771;66.913589;25.876278;102.05479;3.2134278;3.3491457;805.0127;807.83374;802.7049;81.400917;9.7416992;11.64659;24.591383;1019.5515;2454.8032;2470.488;;;;805.0127
Afghanistan;AFG;1981;13812.973;.049479902;Afghani;.026087241;6598.248;477.68488;498.13879;511.83627;80.785484;9.673831;12.290421;52.722904;52.582394;55.698402;22.090597;57.747894;25.67301;102.09058;3.5375452;3.689019;899.64185;902.80737;897.16693;81.077278;9.7626486;11.878043;24.399502;1140.4154;2748.6123;2765.8926;;;;899.64185
Afghanistan;AFG;1982;12881.816;.050599609;Afghani;.024545051;7089.2588;550.33069;574.42938;589.91724;80.988396;9.5713005;12.136511;48.508381;48.314167;51.178791;20.43;53.258926;25.992744;100;3.956775;4.1300402;984.07477;987.73657;981.32947;81.193031;9.7114458;11.760101;24.709082;1248.3647;3017.042;3036.7405;;;;984.07477
Afghanistan;AFG;1983;12934.937;.050599609;Afghani;.022316327;7707.8223;595.89172;621.08698;638.21484;81.239571;9.5115948;12.006551;44.103756;43.974976;46.415039;18.732464;48.96162;25.847343;100;3.979074;4.1473155;1028.3269;1032.0569;1025.453;81.230446;9.7314911;11.762115;24.567768;1305.5079;3158.6465;3178.988;;;;1028.3269
Afghanistan;AFG;1984;13387.737;.050599605;Afghani;.020889482;8139.8496;608.00787;633.80341;651.14612;81.197617;9.3853445;12.153341;41.283882;41.146832;43.434895;17.782869;45.423462;25.8377;100;3.6821079;3.838326;1011.7702;1015.4163;1008.9495;81.1642;9.7380762;11.799872;24.558317;1285.4955;3118.9644;3138.9551;;;;1011.7702
Afghanistan;AFG;1985;13796.928;.050599605;Afghani;.020031057;8391.3105;608.20142;634.55011;651.85748;81.035233;9.5213003;12.170972;39.587379;39.470821;41.746113;16.801994;43.396343;25.892595;100;3.4634523;3.613497;984.37811;987.92554;981.62769;81.189056;9.7342682;11.773479;24.610567;1251.6576;3040.1785;3059.6833;;;;984.37811
Afghanistan;AFG;1986;13856.1;.050599605;Afghani;.019026913;8830.7051;637.31531;664.54993;682.77179;81.076859;9.3518553;12.31327;37.602886;37.465466;39.634834;16.256599;40.761803;25.859213;100;3.4639628;3.6119895;1009.5257;1013.1453;1006.7053;81.190765;9.7386503;11.778183;24.578245;1284.4661;3123.251;3143.2307;;;;1009.5257
Afghanistan;AFG;1987;13867.957;.050599605;Afghani;.017900312;8162.2241;588.5672;613.31189;630.09235;80.870865;9.3722363;12.49294;35.376385;35.275871;37.376503;15.271727;37.814342;25.863171;100;3.0391994;3.1669741;905.16101;908.36914;902.63226;81.173553;9.7452679;11.783217;24.581068;1152.4255;2809.6292;2827.4863;;;;905.16101
Afghanistan;AFG;1988;14076.478;.050599605;Afghani;.01740595;7745.1982;550.22272;572.97089;588.64874;80.919838;9.3823977;12.434008;34.399376;34.322323;36.323818;14.842604;36.927605;25.871658;100;2.6623027;2.7723718;818.00616;820.87354;815.71637;81.173882;9.7506227;11.777442;24.588184;1042.1329;2543.3469;2559.4268;;;;818.00616
Afghanistan;AFG;1989;14511.868;.050599605;Afghani;.02263636;7470.9009;514.81317;535.21765;549.8786;80.95105;9.3378353;12.450367;44.73624;44.690212;47.219131;19.408689;47.968079;25.864681;100;2.3399813;2.4327259;737.48492;740.04053;735.41931;81.167786;9.7571802;11.778679;24.580549;940.15851;2297.468;2311.905;;;;737.48492
Afghanistan;AFG;1990;14669.339;.050599605;Afghani;.024327075;7533.4458;513.55048;533.81744;548.44275;81.040672;9.2410336;12.458056;48.077599;48.005604;50.688309;21.079762;51.521751;25.866503;100;2.2311735;2.3192255;706.79395;709.23724;704.81421;81.164742;9.7584629;11.779216;24.58209;901.61884;2210.5964;2224.469;;;;706.79395
Afghanistan;AFG;1991;14871.963;.050599605;Afghani;.023473512;7201.0137;484.20062;503.47778;535.65393;84.137993;9.9496489;12.303137;46.390701;46.488602;49.126354;19.812754;50.188339;34.523724;100;2.0639877;2.1461599;644.87885;646.508;642.79108;84.39566;10.204805;11.709842;32.71476;823.02618;2024.4008;2036.1071;;;;644.87885
Afghanistan;AFG;1992;16317.921;.050599605;Afghani;.022893565;7679.8232;470.63736;489.30841;538.48029;87.770462;10.144649;12.134151;45.244549;45.36108;47.815468;19.833149;49.480072;43.180939;100;1.9231406;1.9994352;613.09253;614.07391;610.87506;87.607925;10.648634;11.640862;40.800617;782.87445;1928.3885;1938.4866;;;;613.09253
Afghanistan;AFG;1993;18371.582;.050599605;Afghani;.02238657;6022.4834;327.81516;340.86115;387.50989;91.00251;10.572071;12.110976;44.242577;44.42992;46.872395;19.454645;48.329948;51.838154;100;1.2918392;1.3432503;418.81039;419.06955;417.14938;90.792152;11.099408;11.571567;48.837059;535.09088;1321.8594;1327.944;;;;418.81039
Afghanistan;AFG;1994;19900.668;.42509994;Afghani;.18378477;4890.9097;245.7661;255.57182;299.72189;94.190773;11.221509;11.862722;43.233307;43.574585;45.930786;18.680925;48.069187;60.495361;100;.92258829;.95939833;307.71402;307.61258;306.38239;93.962189;11.543279;11.502995;56.828106;393.36554;972.67407;976.57965;;;;307.71402
Afghanistan;AFG;1995;20881.48;.83333331;Afghani;.3529813;7640.4043;365.8938;380.6084;460.14423;97.382339;11.532421;11.982257;42.357754;42.716816;45.118973;18.518;46.483688;69.152565;100;1.3269612;1.3803256;450.09756;449.5697;448.02704;97.13015;11.969275;11.435963;64.779503;575.74969;1427.161;1432.075;;;;450.09756
Afghanistan;AFG;1996;21559.924;2.5000224;Afghani;1.0356177;7541.7827;349.80563;363.5798;452.49161;100.80619;12.05096;11.597397;41.424335;41.945515;44.12925;18.010365;46.824253;77.809761;100;1.2140157;1.2618196;422.02579;421.14838;419.93811;100.26926;12.403287;11.36853;72.681763;539.93536;1339.7731;1343.6343;;;;422.02579
Afghanistan;AFG;1997;22227.414;3.00003;Afghani;1.2309195;7420.7578;333.85611;342.1882;434.86096;99.267372;2.3505726;25.464449;41.030239;43.268185;45.463242;94.009415;22.387381;85.646133;100;1.1032113;1.1307443;442.44934;472.17703;442.61414;88.854019;2.0986116;22.681019;57.214245;569.2464;1414.1797;1508.635;;;;388.40744
Afghanistan;AFG;1998;22912.814;3.0000525;Afghani;1.2258507;7203.0386;314.36725;321.79758;420.27823;102.86033;2.4244242;25.318546;40.860973;43.05238;45.072094;93.942627;22.548536;94.092834;100;.9973945;1.0209687;418.89786;447.27039;419.0473;90.673431;2.1552465;22.589964;62.186844;539.25867;1340.6279;1430.9199;;;;363.01114
Afghanistan;AFG;1999;23646.129;45.106377;Afghani;18.193449;7053.7285;298.30374;305.2757;409.09424;105.7591;2.4995914;25.749434;40.334538;42.568913;44.591221;92.972366;22.006613;102.51654;100;.90317786;.92428696;396.41119;423.56735;396.57663;92.499382;2.1693318;22.483448;67.001175;510.55432;1270.0436;1356.4818;;;;339.15933
