country,isocode,year,POP,XRAT,Currency_Unit,ppp,tcgdp,cgdp,cgdp2,cda2,cc,cg,ci,p,p2,pc,pg,pi,openc,cgnp,y,y2,rgdpl,rgdpl2,rgdpch,kc,kg,ki,openk,rgdpeqa,rgdpwok,rgdpl2wok,rgdpl2pe,rgdpl2te,rgdpl2th,rgdptt
Afghanistan,AFG,1950,8150.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1951,8284.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1952,8425.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1953,8573.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1954,8728.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1955,8891.209,0.0168,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1956,9061.938,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1957,9240.934,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1958,9428.556,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1959,9624.606,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1960,9829.45,0.02,Afghani,,,,,,,,,,,,,,,102.0661018,,,,,,,,,,,,,,,,
Afghanistan,AFG,1961,10043.473,0.02,Afghani,,,,,,,,,,,,,,,102.0242946,,,,,,,,,,,,,,,,
Afghanistan,AFG,1962,10267.083,0.02,Afghani,,,,,,,,,,,,,,,102.0325234,,,,,,,,,,,,,,,,
Afghanistan,AFG,1963,10500.711,0.03517833,Afghani,,,,,,,,,,,,,,,102.0710004,,,,,,,,,,,,,,,,
Afghanistan,AFG,1964,10744.167,0.045,Afghani,,,,,,,,,,,,,,,101.9444394,,,,,,,,,,,,,,,,
Afghanistan,AFG,1965,10997.885,0.045,Afghani,,,,,,,,,,,,,,,101.986759,,,,,,,,,,,,,,,,
Afghanistan,AFG,1966,11262.324,0.045,Afghani,,,,,,,,,,,,,,,102.0634933,,,,,,,,,,,,,,,,
Afghanistan,AFG,1967,11537.966,0.045,Afghani,,,,,,,,,,,,,,,102.1248285,,,,,,,,,,,,,,,,
Afghanistan,AFG,1968,11825.32,0.045,Afghani,,,,,,,,,,,,,,,102.1035544,,,,,,,,,,,,,,,,
Afghanistan,AFG,1969,12122.74,0.045,Afghani,,,,,,,,,,,,,,,102.0504679,,,,,,,,,,,,,,,,
Afghanistan,AFG,1970,12430.623,0.044998427,Afghani,0.030932489,2544.158761,204.6686446,217.070672,221.5996694,87.91622257,6.767983571,7.402209935,68.74126819,67.10297948,73.3262136,29.61936565,50.74000042,21.72810954,102.0331696,4.094411211,4.342514677,861.1260359,876.1989915,858.0139012,87.20181311,6.87497171,7.282942305,11.40079081,1081.424221,2573.757504,2628.306751,,,,855.0284397
Afghanistan,AFG,1971,12749.385,0.044998427,Afghani,0.029717164,2772.70816,217.4777967,233.1742145,244.8035188,89.1196779,7.480893016,8.386817723,66.04045131,64.44854289,71.53781321,28.41760809,43.00299102,27.06313883,102.0631039,4.055829075,4.348557751,881.3235359,895.2228589,878.0564049,87.42964342,7.391439278,8.13690032,16.54279255,1107.678841,2638.926007,2690.518366,,,,864.0552434
Afghanistan,AFG,1972,13079.46,0.044998427,Afghani,0.028351007,2532.448551,193.6202681,203.8155144,210.3916736,87.77093351,7.923215352,7.532376487,63.00443949,62.00638207,67.06122119,26.83167519,54.7535819,32.86908064,102.2282812,3.316477867,3.49110994,751.5057698,759.7170243,748.6653004,86.21526048,7.894959203,7.223611025,17.78439884,945.2989511,2254.372064,2287.650884,,,,737.9155488
Afghanistan,AFG,1973,13421.301,0.044998427,Afghani,0.026877329,2901.972071,216.2213686,225.4054437,229.3323901,87.43386927,7.429337721,6.878963209,59.72948624,59.02906506,62.41374345,25.11604678,63.45211003,27.69230775,102.1793662,3.34495941,3.487037681,793.8416529,803.6787215,790.8018865,85.94830546,7.451047774,6.500618971,18.50509218,999.4004602,2385.834304,2424.683471,,,,779.6205854
Afghanistan,AFG,1974,13772.076,0.044998427,Afghani,0.028326567,3424.228187,248.635586,257.7537495,259.8214002,85.82280493,6.987023373,7.992352345,62.95012691,62.43116106,65.3917422,26.22043459,69.01908542,28.86597946,102.1649514,3.576973738,3.708151386,813.1632995,826.2500913,810.4938051,85.76856716,7.098609257,7.785019434,24.50393658,1025.208685,2449.957675,2497.585718,,,,812.0152247
Afghanistan,AFG,1975,14132.019,0.044998427,Afghani,0.02650754,4017.583169,284.2893976,296.2105568,300.7667654,83.37167408,9.257979816,8.908511593,58.90770429,58.67167015,62.12079122,24.89076244,64.57296026,26.94835597,102.1596266,3.780716384,3.939253854,853.5081833,855.575536,850.5365158,83.48598393,9.417836751,8.612570285,25.60024951,1076.828697,2575.963821,2591.225169,,,,853.5081829
Afghanistan,AFG,1976,14501.369,0.044998427,Afghani,0.025895827,4440.715463,306.2273267,319.1963854,324.2816711,79.72838874,9.105773671,12.75899025,57.54829406,57.25544829,60.70248508,24.65892053,61.57692012,28.08695607,102.1739146,3.689262636,3.845506901,874.2868055,879.0138707,872.3788896,79.31135144,9.329222882,12.11726709,30.73468174,1105.193605,2647.228783,2667.362595,,,,867.2599393
Afghanistan,AFG,1977,14880.372,0.044998427,Afghani,0.029043272,4575.771768,307.5038559,320.3728878,330.120067,82.35285514,9.472311503,11.21728158,64.54286092,64.34934329,67.97632903,27.33145245,71.43639872,26.48608001,102.1820862,3.362177517,3.502884597,811.6449632,814.5619565,809.2491231,82.6446913,9.690270377,10.98895652,33.15811027,1025.876761,2460.4227,2476.575718,,,,814.1718962
Afghanistan,AFG,1978,15269.281,0.044998427,Afghani,0.028059936,5292.058002,346.5820036,360.943771,371.4613961,80.59410633,9.746764131,12.57305296,62.35759303,62.26783354,65.8031609,26.30071635,68.80014719,24.71380464,102.1548766,3.388113455,3.528511102,850.2461296,852.7135678,847.9347119,81.39504263,9.975038231,12.20949625,33.92816708,1075.611131,2583.049291,2597.607039,,,,856.0451642
Afghanistan,AFG,1979,15555.612,0.043730753,Afghani,0.029066821,5563.515201,357.6532508,372.6473003,382.0292864,80.89291174,9.437698389,12.18704828,66.46768875,66.24072039,70.08117069,28.24469643,72.60963549,26.42894712,102.1039652,3.163358317,3.295977133,811.7862356,814.9661014,809.518751,81.06828177,9.664531688,11.75305672,25.13109105,1027.542719,2470.822927,2487.449395,,,,811.7862303
