isocode	year	pop	xrat	openc	rgdpl	rgdpwok
AFG	1950	8150.3682				
AFG	1951	8284.4727				
AFG	1952	8425.333				
AFG	1953	8573.2168				
AFG	1954	8728.4082				
AFG	1955	8891.209	.0168			
AFG	1956	9061.9385	.02			
AFG	1957	9240.9336	.02			
AFG	1958	9428.5557	.02			
AFG	1959	9624.6064	.02			
AFG	1960	9829.4502	.02			
AFG	1961	10043.473	.02			
AFG	1962	10267.083	.02			
AFG	1963	10500.711	.03517833			
AFG	1964	10744.167	.045			
AFG	1965	10997.885	.045			
AFG	1966	11262.324	.045			
AFG	1967	11537.966	.045			
AFG	1968	11825.32	.045			
AFG	1969	12122.74	.045			
AFG	1970	12430.623	.044998427	21.728109	861.12604	2573.7576
AFG	1971	12749.385	.044998427	27.063139	881.32355	2638.926
AFG	1972	13079.46	.044998427	32.86908	751.5058	2254.3721
AFG	1973	13421.301	.044998427	27.692308	793.84167	2385.8342
AFG	1974	13772.076	.044998427	28.86598	813.16327	2449.9578
AFG	1975	14132.019	.044998427	26.948357	853.50818	2575.9639
AFG	1976	14501.369	.044998427	28.086956	874.2868	2647.2288
AFG	1977	14880.372	.044998427	26.48608	811.64496	2460.4226
AFG	1978	15269.281	.044998427	24.713804	850.24615	2583.0493
AFG	1979	15555.612	.043730753	26.428947	811.78625	2470.823
AFG	1980	15112.149	.044129167	25.876278	805.0127	2454.8032
AFG	1981	13812.973	.049479902	25.67301	899.64185	2748.6123
AFG	1982	12881.816	.050599608	25.992744	984.07477	3017.042
AFG	1983	12934.937	.050599608	25.847343	1028.3269	3158.6465
AFG	1984	13387.737	.050599606	25.8377	1011.7702	3118.9644
AFG	1985	13796.928	.050599605	25.892595	984.37811	3040.1785
AFG	1986	13856.1	.050599605	25.859213	1009.5257	3123.251
AFG	1987	13867.957	.050599605	25.863171	905.16101	2809.6292
AFG	1988	14076.478	.050599605	25.871658	818.00616	2543.3469
AFG	1989	14511.868	.050599605	25.864681	737.48492	2297.468
AFG	1990	14669.339	.050599605	25.866503	706.79395	2210.5964
AFG	1991	14871.963	.050599605	34.523724	644.87885	2024.4008
AFG	1992	16317.921	.050599605	43.180939	613.09253	1928.3885
AFG	1993	18371.582	.050599605	51.838154	418.81039	1321.8594
AFG	1994	19900.668	.425099934	60.495361	307.71402	972.67407
AFG	1995	20881.48	.833333333	69.152565	450.09756	1427.161
AFG	1996	21559.924	2.5000225	77.809761	422.02579	1339.7731
AFG	1997	22227.414	3.00003	85.646133	442.44934	1414.1797
AFG	1998	22912.814	3.000052503	94.092834	418.89786	1340.6279
AFG	1999	23646.129	45.106375	102.51654	396.41119	1270.0436
AFG	2000	23898.197	61.628875	110.91734	382.67038	1226.7943
AFG	2001	23997.412	65.68945832999999	113.08431	369.81461	1186.1138
AFG	2002	25268.404	41.45943097	92.156723	604.68738	1935.0981
AFG	2003	27060.359	48.76275359	132.77983	636.04114	2033.8098
AFG	2004	28513.678	47.8453125	107.82781	618.11182	1970.3533
AFG	2005	29928.986	49.4945975	96.466599	666.479	2112.7668
AFG	2006	31056.996	49.92533083	86.899055	687.72736	2170.6919
AFG	2007	31889.924	49.9621511	73.880058	736.48022	2309.4292
AFG	2008	24506.84	52.14	69.968475	1009.8645	3147.1577
AFG	2009	25390.063	48.74	61.732811	1170.9935	
ALB	1950	1227.156				
ALB	1951	1254.119				
ALB	1952	1282.697				
ALB	1953	1314.608				
ALB	1954	1352.9821				
ALB	1955	1392.1639				
ALB	1956	1434.476				
ALB	1957	1476.505				
ALB	1958	1521.417				
ALB	1959	1571.329				
ALB	1960	1623.114				
ALB	1961	1676.635				
ALB	1962	1728.137				
ALB	1963	1779.715				
ALB	1964	1832.2841				
ALB	1965	1883.652				
ALB	1966	1932.963				
ALB	1967	1984.0601				
ALB	1968	2038.698				
ALB	1969	2100.2629				
ALB	1970	2156.6121	5	44.74128	2423.491	6677.7012
ALB	1971	2208.719	5	44.741505	2461.1062	6733.8682
ALB	1972	2263.554	5	44.75729	2497.9363	6787.1172
ALB	1973	2295.6909	5	44.72504	2561.4465	6911.7217
ALB	1974	2347.9241	5	44.742191	2604.708	6980.0557
ALB	1975	2401.1079	5	44.804638	2650.1155	7053.3726
ALB	1976	2454.824	5	44.628288	2694.3735	7123.2358
ALB	1977	2509.0481	5	44.793648	2742.0007	7198.9009
ALB	1978	2563.376	5	44.991974	2796.1902	7292.5742
ALB	1979	2617.679	6.167123288	44.099243	2837.7065	7354.3496
ALB	1980	2671.4121	7	45.289726	2898.2402	7454.5229
ALB	1981	2724.272	7	45.586952	2975.7681	7597.9814
ALB	1982	2780.0969	7	41.421055	2974.4517	7545.7866
ALB	1983	2837.3149	7	37.788013	2978.2864	7515.4277
ALB	1984	2895.998	7	35.555958	2935.0684	7376.1348
ALB	1985	2956.697	7	34.056717	2915.4434	7288.7632
ALB	1986	3015.438	7	30.299719	3019.2539	7485.2188
ALB	1987	3075.321	7	31.055317	2976.8706	7315.7871
ALB	1988	3136.843	6.670000076	34.789719	2875.1768	7026.7905
ALB	1989	3195.8	6.130000114	37.44136	3057.5728	7424.2402
ALB	1990	3250.7781	7.745833397	37.112606	2762.2939	6700.2397
ALB	1991	3181	16.24583244	34.816387	2390.9299	5822.2275
ALB	1992	3072	75.0325	100.00271	2423.2471	5924.7617
ALB	1993	3066	102.0625	77.71508	2490.845	6025.1357
ALB	1994	3111	94.62333332999999	50.302006	2569.113	6163.3413
ALB	1995	3158	92.69750000000001	45.485458	2734.2222	6501.6313
ALB	1996	3204	104.4989167	43.220203	3021.1453	7139.0562
ALB	1997	3225	148.9329167	43.93565	2723.1006	6464.1108
ALB	1998	3213	150.6333333	45.481342	3028.9812	7154.0288
ALB	1999	3187	137.6905833	48.029747	3407.6963	8006.7866
ALB	2000	3158	143.7094167	55.920429	3523.6565	8249.1709
ALB	2001	3128	143.4848333	57.430363	3629.9583	8455.4795
ALB	2002	3098	140.1545159	63.934242	3748.3367	8665.0801
ALB	2003	3070	121.86325	65.440544	4197.396	9639.6689
ALB	2004	3046	102.7800512	66.357704	4719.709	10746.145
ALB	2005	3025	99.87025448	70.295303	5030.436	11363.21
ALB	2006	3006	98.10337709	73.453552	5500.457	12354.398
