	education								
Country name	12	12	12	16	16	16	Total	Total	Total
	No.	Col %	Cum %	No.	Col %	Cum %	No.	Col %	Cum %
Australia	9	11.1	11.1	0	0.0	0.0	9	10.8	10.8
Barbados	2	2.5	13.6	0	0.0	0.0	2	2.4	13.3
Bulgaria	3	3.7	17.3	0	0.0	0.0	3	3.6	16.9
Canada	6	7.4	24.7	0	0.0	0.0	6	7.2	24.1
Denmark	5	6.2	30.9	0	0.0	0.0	5	6.0	30.1
Estonia	1	1.2	32.1	0	0.0	0.0	1	1.2	31.3
Finland	3	3.7	35.8	0	0.0	0.0	3	3.6	34.9
Hong Kong	2	2.5	38.3	0	0.0	0.0	2	2.4	37.3
Ireland	1	1.2	39.5	0	0.0	0.0	1	1.2	38.6
Israel	5	6.2	45.7	0	0.0	0.0	5	6.0	44.6
Japan	3	3.7	49.4	0	0.0	0.0	3	3.6	48.2
Latvia	1	1.2	50.6	0	0.0	0.0	1	1.2	49.4
Lithuania	1	1.2	51.9	0	0.0	0.0	1	1.2	50.6
Moldova	1	1.2	53.1	0	0.0	0.0	1	1.2	51.8
Netherlands	1	1.2	54.3	0	0.0	0.0	1	1.2	53.0
New Zealand	9	11.1	65.4	0	0.0	0.0	9	10.8	63.9
Norway	3	3.7	69.1	0	0.0	0.0	3	3.6	67.5
Poland	3	3.7	72.8	0	0.0	0.0	3	3.6	71.1
Romania	3	3.7	76.5	0	0.0	0.0	3	3.6	74.7
Sweden	5	6.2	82.7	0	0.0	0.0	5	6.0	80.7
Switzerland	5	6.2	88.9	0	0.0	0.0	5	6.0	86.7
Tajikistan	1	1.2	90.1	0	0.0	0.0	1	1.2	88.0
United Kingdom	2	2.5	92.6	0	0.0	0.0	2	2.4	90.4
United States	6	7.4	100.0	2	100.0	100.0	8	9.6	100.0
Total	81	100.0		2	100.0		83	100.0	

